WTeam,LTeam,WLoc
Cleveland Cavaliers,Boston Celtics,H
Houston Rockets,Golden State Warriors,V
Milwaukee Bucks,Boston Celtics,V
Atlanta Hawks,Dallas Mavericks,V
Detroit Pistons,Charlotte Hornets,H
Indiana Pacers,Brooklyn Nets,H
Memphis Grizzlies,New Orleans Pelicans,H
Orlando Magic,Miami Heat,H
Portland Trail Blazers,Phoenix Suns,V
Houston Rockets,Sacramento Kings,V
San Antonio Spurs,Minnesota Timberwolves,H
Utah Jazz,Denver Nuggets,H
Washington Wizards,Philadelphia 76ers,H
Los Angeles Clippers,Los Angeles Lakers,V
Oklahoma City Thunder,New York Knicks,H
Toronto Raptors,Chicago Bulls,H
Brooklyn Nets,Orlando Magic,H
Charlotte Hornets,Atlanta Hawks,H
Sacramento Kings,Dallas Mavericks,V
Portland Trail Blazers,Indiana Pacers,V
Cleveland Cavaliers,Milwaukee Bucks,V
Minnesota Timberwolves,Utah Jazz,H
Golden State Warriors,New Orleans Pelicans,V
Boston Celtics,Philadelphia 76ers,V
Los Angeles Lakers,Phoenix Suns,V
Washington Wizards,Detroit Pistons,H
San Antonio Spurs,Chicago Bulls,V
Orlando Magic,Cleveland Cavaliers,V
Denver Nuggets,Sacramento Kings,H
Houston Rockets,Dallas Mavericks,H
Los Angeles Clippers,Phoenix Suns,H
Memphis Grizzlies,Golden State Warriors,H
Miami Heat,Indiana Pacers,H
Milwaukee Bucks,Portland Trail Blazers,H
Detroit Pistons,New York Knicks,V
Toronto Raptors,Philadelphia 76ers,H
Utah Jazz,Oklahoma City Thunder,H
Brooklyn Nets,Atlanta Hawks,H
New Orleans Pelicans,Los Angeles Lakers,V
Minnesota Timberwolves,Oklahoma City Thunder,V
Golden State Warriors,Dallas Mavericks,V
Washington Wizards,Denver Nuggets,V
Philadelphia 76ers,Detroit Pistons,V
Memphis Grizzlies,Houston Rockets,V
Miami Heat,Atlanta Hawks,H
Milwaukee Bucks,Charlotte Hornets,H
Phoenix Suns,Sacramento Kings,H
San Antonio Spurs,Toronto Raptors,H
Boston Celtics,New York Knicks,H
Cleveland Cavaliers,Chicago Bulls,H
Los Angeles Clippers,Utah Jazz,H
Indiana Pacers,Minnesota Timberwolves,V
Orlando Magic,Brooklyn Nets,H
Portland Trail Blazers,New Orleans Pelicans,H
Brooklyn Nets,Cleveland Cavaliers,H
Charlotte Hornets,Denver Nuggets,H
Dallas Mavericks,Memphis Grizzlies,H
Detroit Pistons,Minnesota Timberwolves,H
Golden State Warriors,Toronto Raptors,H
Los Angeles Lakers,Washington Wizards,H
San Antonio Spurs,Miami Heat,V
Oklahoma City Thunder,Indiana Pacers,H
Houston Rockets,Philadelphia 76ers,V
Phoenix Suns,Utah Jazz,H
Chicago Bulls,Atlanta Hawks,H
Memphis Grizzlies,Dallas Mavericks,H
Boston Celtics,Milwaukee Bucks,V
Los Angeles Clippers,Portland Trail Blazers,V
New Orleans Pelicans,Sacramento Kings,V
Denver Nuggets,Atlanta Hawks,V
Houston Rockets,Charlotte Hornets,V
Golden State Warriors,Washington Wizards,H
Toronto Raptors,Los Angeles Lakers,V
Minnesota Timberwolves,Oklahoma City Thunder,H
New York Knicks,Brooklyn Nets,H
Orlando Magic,San Antonio Spurs,H
Oklahoma City Thunder,Chicago Bulls,V
Philadelphia 76ers,Dallas Mavericks,V
Detroit Pistons,Los Angeles Clippers,V
Memphis Grizzlies,Houston Rockets,H
Boston Celtics,Miami Heat,V
New Orleans Pelicans,Cleveland Cavaliers,H
Portland Trail Blazers,Phoenix Suns,H
Utah Jazz,Los Angeles Lakers,H
Milwaukee Bucks,Atlanta Hawks,V
Denver Nuggets,Brooklyn Nets,V
Charlotte Hornets,Orlando Magic,H
New York Knicks,Cleveland Cavaliers,V
Detroit Pistons,Golden State Warriors,V
Indiana Pacers,San Antonio Spurs,H
Washington Wizards,Sacramento Kings,V
Boston Celtics,San Antonio Spurs,H
Philadelphia 76ers,Houston Rockets,V
Golden State Warriors,Los Angeles Clippers,V
Charlotte Hornets,Memphis Grizzlies,V
Minnesota Timberwolves,Miami Heat,V
Orlando Magic,New Orleans Pelicans,V
New York Knicks,Denver Nuggets,H
Toronto Raptors,Portland Trail Blazers,V
Utah Jazz,Dallas Mavericks,H
Phoenix Suns,Brooklyn Nets,V
Indiana Pacers,Sacramento Kings,H
Los Angeles Lakers,Detroit Pistons,H
Oklahoma City Thunder,Milwaukee Bucks,V
