Vteam,Hteam
Philadelphia 76ers,Boston Celtics
Oklahoma City Thunder,Golden State Warriors
Milwaukee Bucks,Charlotte Hornets
Brooklyn Nets,Detroit Pistons
New Orleans Pelicans,Houston Rockets
Memphis Grizzlies,Indiana Pacers
Denver Nuggets,Los Angeles Clippers
Atlanta Hawks,New York Knicks
Miami Heat,Orlando Magic
Dallas Mavericks,Phoenix Suns
Utah Jazz,Sacramento Kings
Minnesota Timberwolves,San Antonio Spurs
Cleveland Cavaliers,Toronto Raptors
Chicago Bulls,Philadelphia 76ers
Los Angeles Lakers,Portland Trail Blazers
Miami Heat,Washington Wizards
New York Knicks,Brooklyn Nets
Oklahoma City Thunder,Los Angeles Clippers
Atlanta Hawks,Memphis Grizzlies
Indiana Pacers,Milwaukee Bucks
Cleveland Cavaliers,Minnesota Timberwolves
Sacramento Kings,New Orleans Pelicans
Charlotte Hornets,Orlando Magic
Boston Celtics,Toronto Raptors
Golden State Warriors,Utah Jazz
Detroit Pistons,Chicago Bulls
Minnesota Timberwolves,Dallas Mavericks
Phoenix Suns,Denver Nuggets
Brooklyn Nets,Indiana Pacers
Houston Rockets,Los Angeles Lakers
Charlotte Hornets,Miami Heat
Boston Celtics,New York Knicks
Orlando Magic,Philadelphia 76ers
San Antonio Spurs,Portland Trail Blazers
Toronto Raptors,Washington Wizards
Atlanta Hawks,Cleveland Cavaliers
Golden State Warriors,Denver Nuggets
Houston Rockets,Los Angeles Clippers
Sacramento Kings,Oklahoma City Thunder
Orlando Magic,Boston Celtics
Chicago Bulls,Dallas Mavericks
Phoenix Suns,Golden State Warriors
San Antonio Spurs,Los Angeles Lakers
New York Knicks,Milwaukee Bucks
Indiana Pacers,Minnesota Timberwolves
Washington Wizards,Portland Trail Blazers
Charlotte Hornets,Toronto Raptors
Memphis Grizzlies,Utah Jazz
Sacramento Kings,Denver Nuggets
Philadelphia 76ers,Detroit Pistons
Los Angeles Clippers,New Orleans Pelicans
Dallas Mavericks,Atlanta Hawks
Charlotte Hornets,Chicago Bulls
Brooklyn Nets,Cleveland Cavaliers
Washington Wizards,Golden State Warriors
Utah Jazz,Houston Rockets
New York Knicks,Miami Heat
Philadelphia 76ers,Milwaukee Bucks
Los Angeles Lakers,Phoenix Suns
Memphis Grizzlies,Sacramento Kings
Indiana Pacers,San Antonio Spurs
Minnesota Timberwolves,Toronto Raptors
Cleveland Cavaliers,Detroit Pistons
Denver Nuggets,Los Angeles Lakers
Boston Celtics,Oklahoma City Thunder
Portland Trail Blazers,Orlando Magic
Chicago Bulls,Charlotte Hornets
Los Angeles Clippers,Houston Rockets
Milwaukee Bucks,Minnesota Timberwolves
Brooklyn Nets,New Orleans Pelicans
Golden State Warriors,New York Knicks
Washington Wizards,Sacramento Kings
Dallas Mavericks,Toronto Raptors
Chicago Bulls,Atlanta Hawks
Indiana Pacers,Cleveland Cavaliers
Boston Celtics,Detroit Pistons
Phoenix Suns,Memphis Grizzlies
Portland Trail Blazers,Miami Heat
Orlando Magic,Milwaukee Bucks
Utah Jazz,New Orleans Pelicans
Charlotte Hornets,Philadelphia 76ers
Los Angeles Lakers,San Antonio Spurs
Golden State Warriors,Brooklyn Nets
Utah Jazz,Dallas Mavericks
Washington Wizards,Los Angeles Clippers
Phoenix Suns,Oklahoma City Thunder
Golden State Warriors,Chicago Bulls
New Orleans Pelicans,Denver Nuggets
Portland Trail Blazers,Indiana Pacers
Sacramento Kings,Miami Heat
Toronto Raptors,Milwaukee Bucks
Los Angeles Lakers,Minnesota Timberwolves
Brooklyn Nets,New York Knicks
Atlanta Hawks,Philadelphia 76ers
Dallas Mavericks,San Antonio Spurs
Detroit Pistons,Boston Celtics
Miami Heat,Charlotte Hornets
Atlanta Hawks,Cleveland Cavaliers
Portland Trail Blazers,Houston Rockets
Washington Wizards,Memphis Grizzlies
Los Angeles Clippers,Oklahoma City Thunder
Sacramento Kings,Orlando Magic
Philadelphia 76ers,Toronto Raptors
Detroit Pistons,Brooklyn Nets
Denver Nuggets,Chicago Bulls
New Orleans Pelicans,Golden State Warriors
Dallas Mavericks,Los Angeles Lakers
Utah Jazz,Minnesota Timberwolves
Indiana Pacers,New York Knicks
San Antonio Spurs,Phoenix Suns
